Skill,Skill Code,Description,Guidance Notes,Category,Sub-category,Levels,Assignee,Status,Label
1 - Acceptance testing,BPTS,"Validating systems, products, business processes or services to determine whether the acceptance criteria have been satisfied.","Activities include — but are not limited to:
- setting and applying standards for acceptance testing
- planning, identifying, designing, managing, executing and reporting on the outcomes of acceptance tests
- encouraging effective and efficient collaboration with a range of relevant stakeholders
- requesting and enabling formal acceptance of systems, products or services
- creating measurable acceptance criteria related to functional and non-functional requirements, features, business processes, user stories and business rules
- devising acceptance test cases and scenarios from acceptance criteria
- enabling exploratory testing by stakeholders to discover unexpected behaviours
- deploying model office testing to simulate real-world working practices and system usage.
The acceptance testing approach will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",People and skills,Change planning,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
2 - Animation development,ADEV,Designing and developing animated and interactive systems such as games and simulations.,"Animation development includes using specialised tools and techniques such as — but not limited to — wireframes, interaction diagrams and boned rigs.",People and skills,Change analysis,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
3 - Application support,ASUP,"Delivering management, technical and administrative services to support and maintain live applications.","Activities may include — but are not limited to:
- investigating and resolving issues
- implementing working practices to support iterative/agile development and/or cloud-based applications
- monitoring performance of applications
- providing guidance or training to users — including enhanced levels of support following new/updated software releases
- devising permanent or temporary corrections and workarounds for faults
- adhering to established safety, security and quality standards
- capturing user feedback for subsequent analysis to inform future application development
- implementing general or site-specific modifications
- updating documentation
- maintaining application data
- defining enhancements.
Support typically involves close collaboration with application developers and other specialist areas. Application maintenance and support services may be delivered directly to users of the systems or to service delivery functions.",Change and transformation,Change analysis,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
4 - Asset management,ASMG,"Managing the full life cycle of assets from acquisition, operation, maintenance to disposal.","Assets to be managed include components such as — but not limited to — hardware, software, data, networking, cloud services, devices, intellectual property, licences and agreements, warranties.
The full life cycle includes acquisition, storage, distribution, movement and disposal of assets.
Asset management requires knowledge of financial, legal and technical processes, tools and techniques.
Activities may include — but are not limited to:
- providing information and advice to optimise value, control costs, manage risks, support decision-making and meet regulatory or contractual requirements
- providing advice on asset management includes areas such as — but not limited to — the maintenance of hardware assets, licensing of software, protection of intellectual property, and legal obligations
- using international standards for asset management
- integrating with security, change, and configuration management
- resolving issues and risks with unauthorised assets such as — but not limited to — unlicensed copies of software, cloud services, devices.
",Change and transformation,Change analysis,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
5 - Audit,AUDT,"Delivering independent, risk-based assessments of the effectiveness of processes, the controls, and the compliance environment of an organisation.","Audit activity is conducted with appropriate independence from the organisation’s management and may be conducted internally or for a third-party client organisation.
Audit includes the structured analysis of the risks to the achievement of business objectives. ",Change and transformation,Change analysis,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
6 - Availability management,AVMT,Ensuring that services deliver agreed levels of availability to meet the current and future needs of the business.,"Activities may include — but are not limited to:
- defining and agreeing availability targets
- disaster recovery planning
- ensuring services can collect data required to measure availability
- monitoring, analysing and reporting on service availability
- implementing availability management practices to support cloud-based services
- maintaining and improving the availability of services
- controlling and managing service availability to deliver agreed levels of availability in a cost-effective manner
",Development and implementation,Change analysis,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
7 - Benefits management,BENM,"Forecasting, planning and monitoring the emergence and effective realisation of anticipated benefits from projects and programmes.","Activities may include — but are not limited to:
- implementing a benefits management framework and approach
- identifying and implementing the actions needed to optimise the business impact of individual and combined benefits
- confirming the achievement of expected benefits.
",Development and implementation,Change analysis,"""5 - Ensure, advise"",""6 - Initiate, influence""",,,
8 - Business administration,ADMN,"Managing and performing administrative services and tasks to enable individuals, teams and organisations to succeed in their objectives.","Basic administration tasks may include — but are not limited to — answering telephones, dealing with business correspondence, calling clients, customers and colleagues, greeting visitors, e-mail, filing, using digital tools to organise team meetings, making arrangements for travel and meetings, dealing with relevant suppliers.
Management-level business administration tasks focus on planning, managing and coordinating the activities of individuals and teams to enable them to achieve their objectives.",Development and implementation,Advice and guidance,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
9 - Business intelligence,BINT,"Developing, producing and delivering regular and one-off management information to provide insights and aid decision-making.","Typically applied in supporting operational needs through management and governance processes. May be one-off or regular activities aligned with the organisation's planning and reporting cycles.
Activities may include — but are not limited to:
- understanding business needs and objectives
- identifying and validating internal and external data sets generated from a diverse range of business and operational processes
- transforming the results of analysis into information that can be communicated to stakeholders using dashboards and reports
- interpreting and analysing data, comparative analysis, benchmarking, trend analysis
- bringing data together to communicate clear themes and trends
- focusing on data quality to provide confidence for making decisions on a single version of the truth.
",Development and implementation,Content management,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
10 - Business modelling,BSMO,"Producing abstract or distilled representations of real-world, business or gaming situations.","Predominantly focused on the representation of processes, roles, data, organisation and time. Models may be used to represent a subject at varying levels of detail and decomposition.
Business models are typically created to communicate and provide insights about existing, conceptual or proposed scenarios. As such, they are likely to be working models that allow comparisons of alternative outcomes based on changing inputs and parameters.
This skill shouldn't be applied to the creation of all diagrams related to describing and explaining business concepts. Refer to other SFIA skills, including — but not limited to — Business situation analysis, Data design and modelling, Enterprise and business architecture, Organisation design. ",Development and implementation,Content management,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
